=== RESULTS ===

Algorithm:	Apriori
HusbandMaleUnited-StatesWhitecg_0cl_0: 8938
HusbandMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 8931
MaleMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 9003
<40h<=50KHS-gradUnited-StatesWhitecl_0: 5021
<40h<=50KHS-gradUnited-Statescg_0cl_0: 5802
<40h<=50KHS-gradWhitecg_0cl_0: 5133
<40h<=50KMalePrivateUnited-StatesWhite: 5794
<40h<=50KMalePrivateUnited-Statescg_0: 6376
<40h<=50KMalePrivateUnited-Statescl_0: 6472
<40h<=50KMalePrivateWhitecg_0: 6257
<40h<=50KMalePrivateWhitecl_0: 6357
<40h<=50KMalePrivatecg_0cl_0: 7227
<40h<=50KPrivateUnited-StatesWhitecg_0: 9786
<40h<=50KPrivateUnited-StatesWhitecl_0: 9901
<40h<=50KPrivateUnited-Statescg_0cl_0: 11266
<40h<=50KPrivateWhitecg_0cl_0: 10588
<40hHS-gradUnited-StatesWhitecg_0cl_0: 5414
<40hMalePrivateUnited-StatesWhitecg_0: 6882
<40hMalePrivateUnited-StatesWhitecl_0: 7138
<40hMalePrivateUnited-Statescg_0cl_0: 7473
<40hMalePrivateWhitecg_0cl_0: 7373
<40hPrivateUnited-StatesWhitecg_0cl_0: 10989
<=50KHS-gradPrivateUnited-StatesWhitecg_0: 5004
<=50KHS-gradPrivateUnited-StatesWhitecl_0: 5048
<=50KHS-gradPrivateUnited-Statescg_0cl_0: 5674
<=50KHS-gradPrivateWhitecg_0cl_0: 5180
<=50KHS-gradUnited-StatesWhitecg_0cl_0: 6383
<=50KMalePrivateUnited-StatesWhitecg_0: 7898
<=50KMalePrivateUnited-StatesWhitecl_0: 8007
<=50KMalePrivateUnited-Statescg_0cl_0: 8619
<=50KMalePrivateWhitecg_0cl_0: 8521
<=50KNot-in-familyUnited-StatesWhitecg_0cl_0: 5411
<=50KPrivateUnited-StatesWhitecg_0cl_0: 12484
HS-gradMaleUnited-StatesWhitecg_0cl_0: 5169
HS-gradPrivateUnited-StatesWhitecg_0cl_0: 5595
MalePrivateUnited-StatesWhitecg_0cl_0: 10193
HusbandMaleMarried-civ-spousePrivateUnited-Statescg_0: 6720
HusbandMaleMarried-civ-spousePrivateUnited-Statescl_0: 7136
HusbandMaleMarried-civ-spousePrivatecg_0cl_0: 7044
HusbandMalePrivateUnited-Statescg_0cl_0: 6242
HusbandMarried-civ-spousePrivateUnited-Statescg_0cl_0: 6237
MaleMarried-civ-spousePrivateUnited-Statescg_0cl_0: 6301
<40h<=50KFemalePrivatecg_0cl_0: 5699
<40h<=50KFemalePrivateUnited-Statescg_0: 5215
<40h<=50KFemalePrivateUnited-Statescl_0: 5250
<40h<=50KFemaleUnited-StatesWhitecg_0: 5708
<40h<=50KFemaleUnited-StatesWhitecl_0: 5754
<40h<=50KFemaleUnited-Statescg_0cl_0: 6923
<40h<=50KFemaleWhitecg_0cl_0: 6026
<40hFemalePrivateUnited-Statescg_0cl_0: 5383
<40hFemaleUnited-StatesWhitecg_0cl_0: 5986
<=50KFemalePrivateUnited-StatesWhitecg_0: 5005
<=50KFemalePrivateUnited-StatesWhitecl_0: 5026
<=50KFemalePrivateUnited-Statescg_0cl_0: 5895
<=50KFemalePrivateWhitecg_0cl_0: 5300
<=50KFemaleUnited-StatesWhitecg_0cl_0: 6541
FemalePrivateUnited-StatesWhitecg_0cl_0: 5266
Married-civ-spousePrivateUnited-StatesWhitecg_0cl_0: 6470
>50KHusbandMaleMarried-civ-spouseUnited-StatesWhite: 5118
HusbandMaleMarried-civ-spousePrivateUnited-StatesWhite: 7099
HusbandMaleMarried-civ-spousePrivateWhitecl_0: 7253
HusbandMalePrivateUnited-StatesWhitecl_0: 6646
HusbandMarried-civ-spousePrivateUnited-StatesWhitecl_0: 6641
MaleMarried-civ-spousePrivateUnited-StatesWhitecl_0: 6699
<40h<=50KNever-marriedPrivateUnited-Statescg_0: 5591
<40h<=50KNever-marriedPrivateUnited-Statescl_0: 5599
<40h<=50KNever-marriedPrivateWhitecg_0: 5133
<40h<=50KNever-marriedPrivateWhitecl_0: 5142
<40h<=50KNever-marriedPrivatecg_0cl_0: 6147
<40h<=50KNever-marriedUnited-StatesWhitecg_0: 6017
<40h<=50KNever-marriedUnited-Statescg_0cl_0: 7087
<40h<=50KNever-marriedWhitecg_0cl_0: 6369
<40hNever-marriedPrivateUnited-Statescg_0cl_0: 5519
<40hNever-marriedPrivateWhitecg_0cl_0: 5079
<40hNever-marriedUnited-StatesWhitecg_0cl_0: 5953
<=50KNever-marriedPrivateUnited-StatesWhitecg_0: 5739
<=50KNever-marriedPrivateUnited-StatesWhitecl_0: 5760
<=50KNever-marriedPrivateUnited-Statescg_0cl_0: 6578
<=50KNever-marriedPrivateWhitecg_0cl_0: 6131
<=50KNever-marriedUnited-StatesWhitecg_0cl_0: 7218
Never-marriedPrivateUnited-StatesWhitecg_0cl_0: 5754
HusbandMaleMarried-civ-spousePrivateWhitecg_0: 6823
HusbandMalePrivateUnited-StatesWhitecg_0: 6252
HusbandMalePrivateWhitecg_0cl_0: 6349
HusbandMarried-civ-spousePrivateUnited-StatesWhitecg_0: 6247
HusbandMarried-civ-spousePrivateWhitecg_0cl_0: 6344
HusbandPrivateUnited-StatesWhitecg_0cl_0: 5794
MaleMarried-civ-spousePrivateUnited-StatesWhitecg_0: 6300
MaleMarried-civ-spousePrivateWhitecg_0cl_0: 6415
<40h<=50KMaleUnited-StatesWhitecg_0cl_0: 7570
<40hHusbandMaleMarried-civ-spouseUnited-StatesWhitecg_0: 5534
<40hHusbandMaleMarried-civ-spouseUnited-StatesWhitecl_0: 5859
<40hHusbandMaleMarried-civ-spouseUnited-Statescg_0cl_0: 5707
<40hHusbandMaleMarried-civ-spouseWhitecg_0cl_0: 5717
<40hHusbandMaleUnited-StatesWhitecg_0cl_0: 5182
<40hHusbandMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 5181
<40hMaleMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 5229
<=50KHusbandMaleMarried-civ-spouseUnited-StatesWhitecg_0: 5591
<=50KHusbandMaleMarried-civ-spouseUnited-StatesWhitecl_0: 5715
<=50KHusbandMaleMarried-civ-spouseUnited-Statescg_0cl_0: 5857
<=50KHusbandMaleMarried-civ-spouseWhitecg_0cl_0: 5913
<=50KHusbandMaleUnited-StatesWhitecg_0cl_0: 5386
<=50KHusbandMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 5382
<=50KMaleMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 5440
HusbandMaleMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 8930
<40h<=50KMalePrivateUnited-StatesWhitecg_0: 5536
<40h<=50KMalePrivateUnited-StatesWhitecl_0: 5625
<40h<=50KMalePrivateUnited-Statescg_0cl_0: 6187
<40h<=50KMalePrivateWhitecg_0cl_0: 6077
<40h<=50KPrivateUnited-StatesWhitecg_0cl_0: 9502
<40hMalePrivateUnited-StatesWhitecg_0cl_0: 6573
<=50KMalePrivateUnited-StatesWhitecg_0cl_0: 7624
HusbandMaleMarried-civ-spousePrivateUnited-Statescg_0cl_0: 6236
<40h<=50KFemalePrivateUnited-Statescg_0cl_0: 5079
<40h<=50KFemaleUnited-StatesWhitecg_0cl_0: 5540
HusbandMaleMarried-civ-spousePrivateUnited-StatesWhitecl_0: 6640
<40h<=50KNever-marriedPrivateUnited-Statescg_0cl_0: 5445
<40h<=50KNever-marriedPrivateWhitecg_0cl_0: 5002
<40h<=50KNever-marriedUnited-StatesWhitecg_0cl_0: 5854
<=50KNever-marriedPrivateUnited-StatesWhitecg_0cl_0: 5579
HusbandMaleMarried-civ-spousePrivateUnited-StatesWhitecg_0: 6246
HusbandMaleMarried-civ-spousePrivateWhitecg_0cl_0: 6343
HusbandMalePrivateUnited-StatesWhitecg_0cl_0: 5793
HusbandMarried-civ-spousePrivateUnited-StatesWhitecg_0cl_0: 5788
MaleMarried-civ-spousePrivateUnited-StatesWhitecg_0cl_0: 5841
<40hHusbandMaleMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 5180
<=50KHusbandMaleMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 5381
<40h<=50KMalePrivateUnited-StatesWhitecg_0cl_0: 5367
HusbandMaleMarried-civ-spousePrivateUnited-StatesWhitecg_0cl_0: 5787
